class,image_path,name,xmax,xmin,ymax,ymin
3,953ab1447c46ecfef67ab14629cd70c7.jpg,GARBAGE,870.298828125,759.89990234375,589.8186645507812,497.4368896484375
3,953ab1447c46ecfef67ab14629cd70c7.jpg,GARBAGE,661.063232421875,564.398681640625,588.201171875,510.928466796875
3,e4ddbaa7970fca225a51288ce5f7d3f9.jpg,GARBAGE,1273.3614501953125,998.482666015625,838.0372314453125,649.42333984375
2,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,1513.69921875,1010.5808715820312,1055.15283203125,660.0806884765625
2,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,781.6441650390625,433.9064025878906,1056.5107421875,689.5404052734375
2,5b8120d69607a077b7583334be3ba18b.jpg,POTHOLES,1304.6600341796875,984.9775390625,803.82958984375,572.9149169921875
9,138b1dc82005b4c33e4886260649d313.jpg,CLUTTER_SIDEWALK,1189.435791015625,778.1259155273438,462.6025085449219,347.940673828125
9,138b1dc82005b4c33e4886260649d313.jpg,CLUTTER_SIDEWALK,1548.1336669921875,1015.657958984375,476.16827392578125,351.02740478515625
8,0f91ec1533b845b13089f8cf4e0a36f7.jpg,SAND_ON_ROAD,1376.998291015625,1038.0316162109375,457.10302734375,224.88592529296875
2,0f91ec1533b845b13089f8cf4e0a36f7.jpg,POTHOLES,911.98388671875,659.4666748046875,478.989501953125,330.1810302734375
2,0f91ec1533b845b13089f8cf4e0a36f7.jpg,POTHOLES,1105.5675048828125,845.22412109375,496.4257507324219,314.00079345703125
8,0f91ec1533b845b13089f8cf4e0a36f7.jpg,SAND_ON_ROAD,1911.3037109375,1502.946044921875,516.6820068359375,150.44989013671875
8,0f91ec1533b845b13089f8cf4e0a36f7.jpg,SAND_ON_ROAD,1673.503662109375,1238.59765625,469.5552978515625,202.66232299804688
3,0f91ec1533b845b13089f8cf4e0a36f7.jpg,GARBAGE,613.2877807617188,417.7218933105469,437.9295959472656,308.8586730957031
7,dfd51a42c03dc458daf2fbe071efee9d.jpg,BAD_BILLBOARD,1920.0,1716.6529541015625,303.2257080078125,65.03616333007812
7,dfd51a42c03dc458daf2fbe071efee9d.jpg,BAD_BILLBOARD,1666.587158203125,1438.6446533203125,334.8902893066406,199.3403778076172
